,exit-0-train-loss,exit-1-train-loss,exit-2-train-loss,exit-3-train-loss,exit-0-train-accuracy,exit-1-train-accuracy,exit-2-train-accuracy,exit-3-train-accuracy,exit-0-train-time,exit-1-train-time,exit-2-train-time,exit-3-train-time,exit-0-test-loss,exit-1-test-loss,exit-2-test-loss,exit-3-test-loss,exit-0-test-accuracy,exit-1-test-accuracy,exit-2-test-accuracy,exit-3-test-accuracy,exit-0-test-time,exit-1-test-time,exit-2-test-time,exit-3-test-time
0,4.520404727878069,4.523444554813076,3.503908489136324,0.7953245974707698,0.0424574600906157,0.04870004946957621,0.24225958178577317,0.8001350597953687,6.062198844221463,12.625647688443067,45.7885842587965,50.68517105527706,4.316373828125,4.284552734375,1.7856140625,0.598638330078125,0.062,0.0666,0.5548,0.8404,5.628726198091508,11.979121725253266,40.636009584681915,44.74148913739551
1,4.1523790547384785,4.046860399604244,1.456547136457507,0.6694910252962285,0.08337586669912289,0.09827170575810162,0.6391390723276613,0.8149209664627682,5.824619057788898,12.318984195984907,45.42745822864513,50.34002997487663,3.802812109375,3.643066015625,0.92635615234375,0.590537939453125,0.132,0.1512,0.7542,0.8416,5.6821274760231715,11.89947763577657,41.22458626197579,45.44951150158489
2,3.85437982426522,3.6348288882694284,0.9554968895022419,0.5975684942599587,0.11947295270551468,0.15192656516242511,0.7534687595700073,0.8327692754670164,5.80625344221405,12.276988040205582,45.31416325377173,50.22184087939921,3.554180859375,3.288805078125,0.77597119140625,0.62095078125,0.1644,0.2086,0.792,0.8368,5.392802875399059,11.509902236422187,39.35831150159119,43.42567316293041
3,3.678523823919718,3.328430381386876,0.7913178930671922,0.5384150521982553,0.14579390817504378,0.2008778886698966,0.7918744257995618,0.8485367213449443,5.728549120601836,12.120671695976146,45.0446368341703,49.96385300252828,3.38546484375,2.9991548828125,0.711446484375,0.59959189453125,0.1924,0.2548,0.802,0.842,5.479579552639261,11.590981469642127,39.319264536715174,43.43207955268057
4,3.5336189448846103,3.0737177662523263,0.6912943238568995,0.4861789770496502,0.16868340256456565,0.24901257155420845,0.8140729165848717,0.8618856546081303,5.717999886940277,12.103693165826842,45.00050590452182,49.92024327889583,3.2315974609375,2.7360248046875,0.663932568359375,0.547283349609375,0.2156,0.31,0.8198,0.8568,5.50710702865993,11.548015654904438,39.520991373800314,43.64090734822084
5,3.417211339133576,2.8634762388987913,0.6242136643999654,0.4428344815706198,0.19064632393934872,0.29172915799640364,0.8312616312396448,0.8740331838776295,5.722306092957993,12.110868944708526,45.00739674621776,49.95217046482076,3.1415521484375,2.592679296875,0.683100390625,0.585757275390625,0.2328,0.3418,0.819,0.8474,5.308118849863179,11.406256869032367,39.27581086262103,43.41261214060255
6,3.307254899843739,2.6781525567133357,0.5750335809102401,0.4117568337213685,0.2098766401520208,0.3297579131691153,0.8427809754144059,0.8814536203092241,5.721939371846842,12.109736457283699,45.036607876875266,49.969123228636164,3.119867578125,2.4376998046875,0.661054248046875,0.600074365234375,0.2438,0.3768,0.8206,0.8484,5.524331629395294,11.63870223641692,39.67683514380774,43.76784313102073
7,3.210398573627219,2.5218907782428093,0.5248283410613187,0.376279927130529,0.2285965559752181,0.36324017871865943,0.8548578338607471,0.8908057259071386,5.7163038944806095,12.097732650755942,44.96022448495897,49.87358576634381,2.9497228515625,2.266762890625,0.650384423828125,0.555919873046875,0.2704,0.418,0.8292,0.8592,5.399251118206665,11.445301597475442,39.14140255597049,43.25093706070554
8,3.1206834359368987,2.392455938704839,0.48584111284952614,0.3448262577443444,0.24750492732683685,0.3929925952681958,0.8653485249428744,0.8989721321387347,5.718827173371041,12.104382223618366,44.98967561559948,49.91091533920288,2.842253125,2.1666759765625,0.613692529296875,0.56914306640625,0.2992,0.4364,0.837,0.857,5.44886581460981,11.452003833825254,39.10630287533457,43.17128690082244
9,3.03895900895949,2.2763926078318977,0.4516130615385823,0.31971458925528656,0.26186680905528814,0.41866966101561826,0.874221639406051,0.9060549190819075,5.720111005019537,12.108535238673387,44.98959050251943,49.90681646984213,2.75895234375,2.0728814453125,0.62002353515625,0.567219580078125,0.3114,0.453,0.8382,0.8582,5.686331309991187,11.73748690091245,39.67630766775123,43.78770223634426
10,2.975481150521001,2.183718129421834,0.4234096979018618,0.2957490518331226,0.27506654835847383,0.438269035971449,0.8819718730123831,0.9122896561471837,5.715085665835532,12.10265835427683,45.00087680904716,49.91783689700578,2.731073046875,1.992930078125,0.616806396484375,0.56983447265625,0.3142,0.479,0.8412,0.8608,5.4552952077212975,11.572214377015705,39.11239392974544,43.21047795515994
11,2.9063415285313816,2.0869751709841307,0.39331073666480826,0.27281017375207106,0.2886824602869235,0.4625169806283421,0.8900283468524001,0.9186107686629865,5.720741922130803,12.103044321596402,45.00026138191348,49.9153731281445,2.6412634765625,1.907345703125,0.59472451171875,0.566402099609375,0.3426,0.4976,0.8426,0.8674,5.386098083122146,11.406740575083926,39.323046006361885,43.40631821095029
12,2.8567995638039747,2.0149303156237486,0.3686491959230787,0.253310240987507,0.29896113889957676,0.47753060439258427,0.8953365109029375,0.9238404095766818,5.729249396991786,12.12284016332126,45.034504560323306,49.953158379391326,2.61118359375,1.8649921875,0.5910775390625,0.560938232421875,0.343,0.508,0.8482,0.8688,5.320258785903747,11.341152715480632,39.079578594093924,43.15498466453987
13,2.805171092099787,1.9457829640128463,0.34073854568279793,0.23107543325140753,0.3102841752322322,0.49536320876946394,0.9045237179134832,0.9306719224819593,5.751166281388852,12.152855690945778,44.95621000000113,49.81585136933937,2.5748671875,1.84366875,0.59902568359375,0.57334375,0.3606,0.521,0.8454,0.8612,6.873700958511126,13.36850415347912,45.32444632584553,49.85909936099509
14,2.7577519512999507,1.881650050843731,0.3131661583929455,0.208468453452466,0.3191337327543561,0.5095837488515991,0.9113866400734977,0.9369537734293409,5.743950402027613,12.143173555270193,44.99984697239589,49.854864736185945,2.564107421875,1.800746875,0.57445283203125,0.551007763671875,0.355,0.5294,0.8504,0.8656,5.4383354630940905,11.455504472458403,39.18056261980777,43.305633546178825
15,2.721763325376322,1.8334086255702742,0.29651235193481007,0.1963507997826872,0.32591027946384404,0.52227308776531,0.9153520584840323,0.940448053018822,5.748535866827589,12.164173316623922,45.189097261322644,50.14705646987092,2.5176078125,1.7704580078125,0.57804931640625,0.546327783203125,0.3642,0.5384,0.856,0.866,5.343961341839549,11.461907028816245,39.2528373802041,43.33842875374207
16,2.678213657529191,1.7793580831717066,0.2719828282168966,0.1756146797286633,0.3360554687438654,0.537176779137973,0.9226625625240477,0.9462901743998869,5.7325669096186616,12.124297751293698,45.11554345478496,50.058448731167616,2.4491271484375,1.6528919921875,0.607625732421875,0.58333173828125,0.377,0.5752,0.8484,0.867,5.3316399362970355,11.52684600653626,39.34220127806833,43.46372140594721
