,exit-0-train-loss,exit-1-train-loss,exit-2-train-loss,exit-3-train-loss,exit-4-train-loss,exit-0-train-accuracy,exit-1-train-accuracy,exit-2-train-accuracy,exit-3-train-accuracy,exit-4-train-accuracy,exit-0-test-loss,exit-1-test-loss,exit-2-test-loss,exit-3-test-loss,exit-4-test-loss,exit-0-test-accuracy,exit-1-test-accuracy,exit-2-test-accuracy,exit-3-test-accuracy,exit-4-test-accuracy
0,2.0574410242165353,1.6622689211313613,1.5036788089610604,1.4747099060863282,1.3406155772235788,0.5008441237210544,0.5955979929486223,0.6393039709150301,0.6498731851339997,0.6815180092814348,1.14149677734375,0.753317236328125,0.618866455078125,0.559735107421875,0.507417138671875,0.6954,0.796,0.8298,0.8478,0.8588
1,1.4281071605248485,1.1131108609276723,1.0110236055272437,0.9997557194289798,0.9305897799192783,0.6256252404771065,0.704281866652009,0.7339086461825977,0.7370260147152359,0.7551098931300108,1.04785478515625,0.695998486328125,0.568429248046875,0.525243798828125,0.474005615234375,0.7178,0.8152,0.8458,0.857,0.87
2,1.3025745528107358,1.0175240329875699,0.9340174988810453,0.9333176614239386,0.864835732051574,0.6549771890287474,0.7282392757025857,0.7515056811489506,0.7533509748647439,0.7713092162605711,0.996534765625,0.6765517578125,0.562223828125,0.5168369140625,0.469991259765625,0.7362,0.8198,0.8474,0.8564,0.871
3,1.2306829402595976,0.9621814782569434,0.8858676634851709,0.8991175839804949,0.8279905291281576,0.6720716759193096,0.7412976733594554,0.7625852957573949,0.7613681871363397,0.7785726064184813,0.96187646484375,0.655562744140625,0.548339990234375,0.5107216796875,0.45687451171875,0.7466,0.8242,0.8522,0.8624,0.8738
4,1.1637472418748185,0.914102497722829,0.8522559574522383,0.8655612735667565,0.7919675493321607,0.6887813994393448,0.7524401064773736,0.7709087482626756,0.769573854936357,0.788042496721659,0.9452701171875,0.651848388671875,0.539111572265625,0.498076416015625,0.455807666015625,0.7472,0.827,0.8488,0.8604,0.8736
5,1.1235173850224969,0.8748997603081248,0.8231723985284765,0.844024830978948,0.7678378188039355,0.6981099480962065,0.7630642868921328,0.7776852949721635,0.7737120242479446,0.7929658974016695,0.93683896484375,0.64002216796875,0.53248115234375,0.489340478515625,0.447936474609375,0.7522,0.8306,0.8568,0.8636,0.875
6,1.088261846196732,0.8503928119920534,0.7976893708137353,0.8238290482603199,0.7448545260736076,0.7073442689888576,0.7687336573721447,0.7835666779216496,0.7784077078311125,0.7984468123532599,0.9315900390625,0.6303837890625,0.51899677734375,0.4793796875,0.438047607421875,0.7594,0.8336,0.861,0.8678,0.879
7,1.0515357162487926,0.8226237794559917,0.7796928493886974,0.8092734352301906,0.7282290922332766,0.7163430204709818,0.7751725545932109,0.7891339683237666,0.782404535496384,0.802702766370111,0.93247158203125,0.6419609375,0.5303400390625,0.483276318359375,0.44958447265625,0.7496,0.8338,0.8586,0.8678,0.8784
8,1.021234803319173,0.7985201824092469,0.7591046350244599,0.7890661807720395,0.704144083085331,0.7225777575362581,0.780951857464802,0.7931779098711436,0.7879561212711326,0.8090631404543349,0.9414072265625,0.636700048828125,0.530220947265625,0.486217724609375,0.45602783203125,0.7506,0.829,0.858,0.8688,0.8776
9,1.0002126872776813,0.7841000217901705,0.7468446581691546,0.783379878740646,0.695934427782271,0.7279880016646905,0.7852627776774427,0.7981091628648381,0.7886785341300814,0.8111125943259181,0.92989931640625,0.635906494140625,0.524407861328125,0.4806150390625,0.446779638671875,0.7556,0.835,0.8614,0.8722,0.8782
10,0.9746597862403907,0.7654987495190458,0.7321265390534821,0.7665410214682256,0.6800125735172868,0.7342934095531248,0.7896914825953467,0.8011558605743182,0.7924633493258789,0.8145597600332938,0.93143828125,0.62924755859375,0.52677353515625,0.485921875,0.4529453125,0.7522,0.8358,0.857,0.8736,0.8776
11,0.9511951712196999,0.7429745104082418,0.7131861449851199,0.7527431567086242,0.662727668019882,0.7401041216794528,0.7957613210732543,0.8050034942795895,0.7960832659343076,0.818336722915407,0.915472265625,0.62166669921875,0.520421337890625,0.478915283203125,0.45188427734375,0.7654,0.8378,0.8656,0.871,0.881
12,0.930160908630478,0.7293819100360421,0.702304310527597,0.7398414372482351,0.6509607305792652,0.7445171219699884,0.7984703692943126,0.8072256990522257,0.7993027145448406,0.8219880487785726,0.91792099609375,0.638468359375,0.522915087890625,0.475045458984375,0.452803369140625,0.7544,0.8344,0.8618,0.8708,0.8812
13,0.9151440948638017,0.715124930310716,0.6933755550604236,0.7355997768961374,0.6425596751301521,0.7498802522163155,0.8026556524880056,0.8101703166838109,0.8010851897511602,0.8251211219385792,0.90784560546875,0.6318318359375,0.521285791015625,0.473762646484375,0.450180126953125,0.7664,0.8332,0.8608,0.8686,0.879
14,0.8971748724980565,0.7034030209813822,0.6860156673288784,0.7292095272121931,0.6339301050835878,0.7538535229405344,0.8054667807869589,0.8115680285196033,0.8009909619869494,0.8275631914943739,0.9214314453125,0.624200390625,0.504458251953125,0.465550927734375,0.45059755859375,0.7606,0.8368,0.8646,0.8722,0.881
15,0.8782841075060267,0.6938892067985332,0.6720225989587832,0.7181889276487817,0.6228090204434987,0.7586669912289656,0.809000321944861,0.8173159221364575,0.8056473840016961,0.8298482147764839,0.9233853515625,0.640220556640625,0.527255615234375,0.4770140625,0.454190234375,0.7576,0.834,0.8604,0.8738,0.879
16,0.8588305524691601,0.6774563386820677,0.6644734581982081,0.7114144667101161,0.6121923856114204,0.7629857637552905,0.8126437954943424,0.8174415591554052,0.8061499320774866,0.8316620992375403,0.93017392578125,0.6349599609375,0.513672802734375,0.47846591796875,0.455962109375,0.7606,0.839,0.8654,0.8692,0.8834
17,0.8502706103603427,0.6657560845615661,0.6539937480859985,0.7028696771128613,0.6049353141121782,0.7651137407637161,0.8143634521911881,0.8200799365533055,0.8078774410880166,0.8345753076143886,0.92250703125,0.6312306640625,0.51234072265625,0.47351630859375,0.452163525390625,0.764,0.8394,0.8646,0.8728,0.8806
18,0.8334606471484323,0.6578141440781776,0.6473978659374485,0.6943383223335505,0.5943908837582744,0.7708851913216229,0.8171745804901415,0.8211635558417287,0.810727830955391,0.8368603308964987,0.9224326171875,0.638333837890625,0.5258451171875,0.47397978515625,0.450653466796875,0.763,0.8334,0.8604,0.873,0.8808
19,0.8146940468665342,0.6449164734670321,0.6322207545484527,0.6853228846848474,0.5807184719790186,0.7739161844037346,0.8203390629048849,0.825874944052265,0.8124082260838156,0.8397813915870311,0.9391279296875,0.64867978515625,0.5201232421875,0.486735546875,0.46824521484375,0.7618,0.8374,0.8624,0.8702,0.8796
20,0.7981167697937197,0.6295990633171314,0.6225255396502579,0.6794888610022694,0.5741500729283634,0.7785726064184813,0.8250740080564738,0.8280343303154274,0.8147246586206626,0.8424119166712472,0.9148455078125,0.630093408203125,0.516094677734375,0.478134716796875,0.4535966796875,0.764,0.8426,0.8668,0.874,0.8822
21,0.7933485750013741,0.6262347149806441,0.6177458731183894,0.6727341535402156,0.5651885585900386,0.7795934071974308,0.8268329263217407,0.8304292859891167,0.8154549237932956,0.8455371375175695,0.91073544921875,0.6397037109375,0.5062421875,0.462378564453125,0.448195947265625,0.7656,0.8358,0.8684,0.8752,0.8848
22,0.7754487965347739,0.613777878167427,0.6108244266829471,0.6644891628255766,0.5556976878862356,0.7846660018374414,0.8294241898375356,0.8310810280249076,0.8188392709911976,0.8464715628459926,0.9187630859375,0.63594423828125,0.5107849609375,0.474519775390625,0.45480966796875,0.7656,0.8396,0.8684,0.8738,0.8824
23,0.7672940460813028,0.6068325680599289,0.605762138204647,0.6632916849887319,0.5544468388548186,0.7865741140627086,0.8317955885701722,0.8323295459006996,0.8186037015806708,0.8484974597765231,0.922817578125,0.63698330078125,0.5132423828125,0.47000771484375,0.448234228515625,0.7624,0.8376,0.865,0.8704,0.8824
24,0.7557691194022819,0.5999300162542893,0.6006101615809848,0.6555659285164623,0.5439609327763425,0.7903039630627164,0.8330519587596485,0.8330441064459643,0.8208023494122543,0.8498323531028418,0.92550244140625,0.6367427734375,0.523104931640625,0.48034970703125,0.4612021484375,0.7624,0.8372,0.8624,0.8706,0.88
25,0.7447394406011731,0.5897829252420476,0.5927663750186493,0.6497851533360555,0.5407830768898556,0.7933820700269334,0.8355175852564958,0.8363263735659712,0.8217524793680457,0.851536305172319,0.9170171875,0.628286083984375,0.512799365234375,0.477732275390625,0.46402626953125,0.7632,0.8372,0.8644,0.8692,0.8772
26,0.7280960323240493,0.5753339932548626,0.5781576975249507,0.638290102256755,0.5255330862144781,0.7970569528311517,0.8383836797512387,0.8404409859365062,0.8242573674333142,0.854716492214431,0.9119970703125,0.6402369140625,0.50345390625,0.476483544921875,0.454015966796875,0.767,0.835,0.8684,0.8714,0.881
27,0.7193886752950507,0.5701427550627792,0.5762941839875619,0.6336396308234722,0.5197364837143014,0.79920848678063,0.8415324575386137,0.840401724368085,0.8262989689912132,0.8572213802796994,0.91566904296875,0.6381177734375,0.516836328125,0.478452001953125,0.4626181640625,0.7676,0.8388,0.8672,0.8758,0.8804
