,exit-0-train-loss,exit-1-train-loss,exit-2-train-loss,exit-3-train-loss,exit-0-train-accuracy,exit-1-train-accuracy,exit-2-train-accuracy,exit-3-train-accuracy,exit-0-train-time,exit-1-train-time,exit-2-train-time,exit-3-train-time,exit-0-test-loss,exit-1-test-loss,exit-2-test-loss,exit-3-test-loss,exit-0-test-accuracy,exit-1-test-accuracy,exit-2-test-accuracy,exit-3-test-accuracy,exit-0-test-time,exit-1-test-time,exit-2-test-time,exit-3-test-time
0,2.263195812682808,2.259173244789974,2.235098773409571,0.33437633297448816,0.1644458888527787,0.2013324666883328,0.3554598635034124,0.9042086447838804,6.851758051948111,13.128178181818006,22.120643116883315,26.957116623376322,2.234159912109375,2.215822265625,2.111462646484375,0.0563004150390625,0.284,0.36,0.588,0.982,4.9215468749990166,10.988462500000296,20.213750000000815,24.685537499998986
1,2.1787410881134224,2.129977866275999,1.8079353558153233,0.20902539570299805,0.2567435814104647,0.3174358141046474,0.543223919402015,0.9341891452713682,5.541860129870687,11.831835324675525,20.851087662337925,25.71460597402735,2.11730908203125,1.9920140380859375,1.2518016357421875,0.07615316009521485,0.28,0.328,0.602,0.974,4.901974999997449,10.803084375002214,19.652046875002327,23.95671562499757
2,2.089871202926958,1.932904729139584,1.1449794626716363,0.20280286449870003,0.28379915502112446,0.3608222294442639,0.6652583685407865,0.9346766330841729,5.532257662336539,11.79821831168735,20.818327142856223,25.662824415583167,2.0042886962890627,1.7609635009765625,0.7318955688476563,0.090277099609375,0.344,0.392,0.778,0.97,4.695137500004165,10.534459375003635,19.891256250001987,24.86798750000041
3,1.9981727141391779,1.7614575504753007,0.7989422212686871,0.18314910779574262,0.3140233994150146,0.41054598635034123,0.7764055898602535,0.9387390315242119,5.514467922078769,11.776694285714322,20.7935571428585,25.64303532467588,1.879561767578125,1.5639373779296875,0.530782470703125,0.11164237213134766,0.352,0.472,0.858,0.972,4.713031249998778,10.185493749993668,18.047521874997585,22.11118125000411
4,1.9055735154472702,1.6024303616042412,0.597147974132678,0.15997397764030508,0.35139746506337344,0.4599447513812155,0.8370165745856354,0.9466200844978876,5.544631688313881,11.814047272728695,20.835224545455244,25.672068181816634,1.7731282958984376,1.364325439453125,0.37580889892578123,0.1567863311767578,0.394,0.526,0.894,0.944,4.789090624999659,10.445646874995163,20.760565624993177,24.912931249993164
5,1.8242950786581897,1.4739563761882515,0.47102637131337344,0.1406123545946996,0.37975300617484564,0.5004874878128047,0.8689470263243418,0.9524699382515437,5.542477012986418,11.806051818181954,20.832005064935625,25.6659454545467,1.6925093994140625,1.2392352294921876,0.28116159057617185,0.11925743865966797,0.428,0.544,0.928,0.962,6.454790625006979,12.811065624994455,21.81413437501334,25.99169375000443
6,1.7596150306203282,1.375255328089454,0.39513743601722456,0.1197056911345771,0.3944588885277868,0.5316054598635034,0.8918589535261618,0.9613259668508287,5.534472727270466,11.814916883116005,20.83379961038871,25.672394025973826,1.6103052978515624,1.1136580810546874,0.23847056579589843,0.11726957702636719,0.434,0.586,0.934,0.968,5.464512499976593,11.756821874989498,21.33392499998621,25.54350937498384
7,1.6915013037759994,1.282234338184514,0.3404159372334051,0.10392061518042127,0.42183945401364964,0.5603672408189795,0.9016899577510562,0.966769580760481,5.548453246749348,11.829292597399947,20.849887142853778,25.68218077921916,1.5332767333984374,1.0085177612304688,0.22857344055175782,0.1260465087890625,0.462,0.636,0.93,0.956,6.089218749991687,11.533056250023321,19.84243124999807,24.501903124985347
8,1.6391020766473026,1.205485713687236,0.3033145164412882,0.09169168506383044,0.43865778355541113,0.594897627559311,0.9125771855703607,0.9701819954501137,5.546365714285349,11.773365324676035,20.76407129869846,25.583941948050768,1.4871978759765625,0.9319598388671875,0.1723235321044922,0.09222508239746094,0.48,0.67,0.958,0.976,5.025303124980951,10.773396875002561,18.473731250018943,23.210090624992574
9,1.588728494678258,1.144030591129753,0.2709042732305716,0.07667451250425282,0.44995125121871954,0.6091972700682483,0.9226519337016574,0.9753006174845629,5.549570649351723,11.789810909095463,20.759003896102545,25.594277142857113,1.41211572265625,0.8747940063476562,0.21385177612304687,0.13081375122070313,0.508,0.696,0.934,0.96,4.7987781249858585,10.786350000003608,18.424243750025937,22.58899687502236
