,exit-0-train-loss,exit-1-train-loss,exit-2-train-loss,exit-3-train-loss,exit-4-train-loss,exit-0-train-accuracy,exit-1-train-accuracy,exit-2-train-accuracy,exit-3-train-accuracy,exit-4-train-accuracy,exit-0-test-loss,exit-1-test-loss,exit-2-test-loss,exit-3-test-loss,exit-4-test-loss,exit-0-test-accuracy,exit-1-test-accuracy,exit-2-test-accuracy,exit-3-test-accuracy,exit-4-test-accuracy
0,2.2131440488401855,2.199945379783474,2.219793528599285,2.2651164067578,2.107444091241469,0.3465225869353266,0.3510724731881703,0.3461975950601235,0.3459538511537212,0.35139746506337344,1.5609342041015626,1.574013427734375,1.625240234375,1.615951171875,1.6323468017578124,0.426,0.436,0.414,0.406,0.414
1,1.4959634676125284,1.4735448996587586,1.4752926831126096,1.48554992179883,1.4692265383795093,0.4865940851478713,0.4984562885927852,0.4979688007799805,0.4935001624959376,0.497400064998375,1.450197509765625,1.381916259765625,1.393857421875,1.3992225341796876,1.38542041015625,0.496,0.516,0.518,0.514,0.51
2,1.3223425090642265,1.2981077633703688,1.2944896104159895,1.307055830684311,1.2946970942425657,0.5488300292492687,0.5587422814429639,0.5592297692557686,0.5549236269093273,0.5585797855053624,1.184288818359375,1.156471923828125,1.157340576171875,1.1706383056640626,1.1761728515625,0.598,0.61,0.618,0.612,0.6
3,1.2178162037648277,1.1880908726793549,1.1895392129356923,1.1973604407448408,1.18647932239194,0.5857978550536237,0.5970100747481313,0.6002599935001625,0.5959538511537211,0.5949788755281118,1.15051953125,1.1068121337890624,1.10051416015625,1.1186297607421876,1.1300076904296874,0.592,0.608,0.602,0.602,0.6
4,1.130668474010806,1.0954492250974976,1.093049474300252,1.0987386570218558,1.0881640434575073,0.6154533636659083,0.62812804679883,0.6261780955476113,0.6249593760155996,0.6243906402339942,1.05665673828125,1.0327607421875,1.0295482177734374,1.0405477294921874,1.049256103515625,0.626,0.654,0.658,0.648,0.644
5,1.054846187439064,1.0195764759201333,1.0158566043173138,1.0237288501381216,1.0114273998618784,0.6373090672733182,0.6530711732206694,0.6542898927526812,0.6519337016574586,0.6520961975950601,1.06351611328125,1.0589239501953125,1.032410888671875,1.0498251953125,1.063931884765625,0.626,0.634,0.634,0.64,0.64
6,0.9887909540542736,0.9400761318857653,0.935789825469207,0.9381625994018118,0.9260238830943289,0.6671270718232044,0.6832954176145596,0.6852453688657784,0.6824829379265518,0.6841891452713682,1.0432845458984374,1.0166048583984375,0.9951114501953126,0.9962998657226563,0.9986083374023438,0.63,0.632,0.664,0.658,0.656
7,0.9308575818319386,0.8773454796930859,0.8714824548819873,0.8700971135389584,0.8507428793772344,0.6853266168345792,0.7097010074748131,0.7061260968475788,0.7071823204419889,0.7129509262268443,0.9727957153320312,0.93691064453125,0.920052734375,0.9392334594726562,0.9165170288085938,0.676,0.694,0.686,0.696,0.712
8,0.8687175642874553,0.8107375379580354,0.8025088008053705,0.7998535632312317,0.777414286566664,0.7059636009099772,0.724894377640559,0.7273318167045824,0.7287942801429964,0.7372440688982775,0.9651935424804687,0.9495103759765625,0.8915364990234375,0.8953594360351562,0.9323344116210938,0.672,0.688,0.698,0.72,0.702
9,0.8110085761039568,0.7454589209000244,0.732066335792777,0.7288453774983751,0.7060986439206207,0.7266818329541761,0.750731231719207,0.7576373090672733,0.7589372765680859,0.7653558661033474,0.9651062622070312,0.9347216796875,0.9026674194335937,0.9186397705078125,0.92677783203125,0.662,0.682,0.708,0.692,0.69
